UIC Number,API Number,Operator Name,Operator Number,Lease Name,Well Number,Well Total Depth ft,Shut-in Bottom Hole Pressure - Daily (Method 3 (NTO) / Meas),Shut-In Bottom Hole Pressure after 24 hours - Quarterly (Method 1 (NTO) / Calc),Shut-In Bottom Hole Pressure after 24 hours - Quarterly (Method 2 (NTO) / Meas),Date of Measurement,Top of Completed Interval TVD (ft.),LIQUID DENSITY,MEAS BHP AVE INJ,MEAS BHP MAX INJ,CALC BHP AVE INJ,CALC BHP MAX INJ,MEAS SURF P STATIC,STATIC P SHUTIN TIME,Pressure Gradient (PSI/FT),Date Added
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1339.994524337913,,,2024-02-18,1729,,,,,,,,0.7750112922717831,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1341.576721147381,,,2024-02-19,1729,,,,,,,,0.7759263858573632,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-19,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-20,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1341.934257334832,,,2024-02-20,1729,,,,,,,,0.7761331737043562,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1338.395285580392,,,2024-02-21,1729,,,,,,,,0.7740863421517594,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-21,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-22,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1340.879642346306,,,2024-02-22,1729,,,,,,,,0.7755232170886673,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1343.678712652931,,,2024-02-23,1729,,,,,,,,0.7771421125812209,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-23,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-24,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1338.093472829428,,,2024-02-24,1729,,,,,,,,0.7739117830129717,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1347.606262259854,,,2024-02-25,1729,,,,,,,,0.7794136855175559,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-25,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-26,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1349.502706050605,,,2024-02-26,1729,,,,,,,,0.7805105298152718,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1351.02518567861,,,2024-02-27,1729,,,,,,,,0.7813910848343608,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-27,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-28,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1351.677455940487,,,2024-02-28,1729,,,,,,,,0.7817683377330753,2024-08-22
000125155,10933818,CIMAREX ENERGY CO.,153438,SEA HERO 13 SWD,4,4682,,1841,,2024-02-28,,,,,,,,,,2024-04-15
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1311.240754582798,,,2024-02-29,1729,,,,,,,,0.7583810032289173,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-29,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-03-01,2030,,,,,,,,0,2024-08-22
000103282,13540893,"SLANT OPERATING, LLC",786697,GARDENDALE 8 SWD,1,14450,2625,,,2024-03-01,4922,,,,,,,,0.5333197887037789,2024-11-13
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1337.622770867775,,,2024-03-01,1729,,,,,,,,0.7736395435903846,2024-08-22
000125183,10933816,CIMAREX ENERGY CO.,153438,ASSAULT 14 SWD,11,4508,,1680,,2024-03-01,,,,,,,,,,2024-04-15
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1346.167364624537,,,2024-03-02,1729,,,,,,,,0.7785814717319474,2024-08-22
000103282,13540893,"SLANT OPERATING, LLC",786697,GARDENDALE 8 SWD,1,14450,2625,,,2024-03-02,4922,,,,,,,,0.5333197887037789,2024-11-13
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-03-02,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-03-03,2030,,,,,,,,0,2024-08-22
000103282,13540893,"SLANT OPERATING, LLC",786697,GARDENDALE 8 SWD,1,14450,2625,,,2024-03-03,4922,,,,,,,,0.5333197887037789,2024-11-13
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1348.447326749531,,,2024-03-03,1729,,,,,,,,0.7799001311448993,2024-08-22
000125182,10933820,CIMAREX ENERGY CO.,153438,BARBARO 23 SWD,10,4350,,1674,,2024-03-03,,,,,,,,,,2024-04-15
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1339.799480908279,,,2024-03-04,1729,,,,,,,,0.774898485198542,2024-08-22
000103282,13540893,"SLANT OPERATING, LLC",786697,GARDENDALE 8 SWD,1,14450,2625,,,2024-03-04,4922,,,,,,,,0.5333197887037789,2024-11-13
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-03-04,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-03-05,2030,,,,,,,,0,2024-08-22
000103282,13540893,"SLANT OPERATING, LLC",786697,GARDENDALE 8 SWD,1,14450,2625,,,2024-03-05,4922,,,,,,,,0.5333197887037789,2024-11-13
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1347.592982098866,,,2024-03-05,1729,,,,,,,,0.779406004684133,2024-08-22
000125181,10933819,CIMAREX ENERGY CO.,153438,TIM TAM 24 SWD,16,4668,,1713,,2024-03-05,,,,,,,,,,2024-04-15
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1322.569281375604,,,2024-03-06,1729,,,,,,,,0.7649330719349937,2024-08-22
000103282,13540893,"SLANT OPERATING, LLC",786697,GARDENDALE 8 SWD,1,14450,2625,,,2024-03-06,4922,,,,,,,,0.5333197887037789,2024-11-13
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-03-06,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-03-07,2030,,,,,,,,0,2024-08-22
000103282,13540893,"SLANT OPERATING, LLC",786697,GARDENDALE 8 SWD,1,14450,2625,,,2024-03-07,4922,,,,,,,,0.5333197887037789,2024-11-13
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1254.03763850515,,,2024-03-07,1729,,,,,,,,0.7252964942192885,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1336.719207169999,,,2024-03-08,1729,,,,,,,,0.7731169503585882,2024-08-22
000103282,13540893,"SLANT OPERATING, LLC",786697,GARDENDALE 8 SWD,1,14450,2625,,,2024-03-08,4922,,,,,,,,0.5333197887037789,2024-11-13
