UIC,API,wtd_ft,bhp_m3,date_meas
000125202,10933824,3793,1353.543259645302,2024-03-29
000125202,10933824,3793,1355.148926531908,2024-03-30
000103282,13540893,14450,2605,2024-03-30
000125201,10933825,4064,0,2024-03-30
000125201,10933825,4064,0,2024-03-31
000103282,13540893,14450,2605,2024-03-31
000125202,10933824,3793,1338.53203251049,2024-03-31
000125202,10933824,3793,1328.628131716735,2024-04-01
000103282,13540893,14450,2580,2024-04-01
000125201,10933825,4064,0,2024-04-01
000125966,38940368,5731,0,2024-04-01
000125967,38940369,5784,0,2024-04-01
000125967,38940369,5784,0,2024-04-02
000125966,38940368,5731,0,2024-04-02
000125201,10933825,4064,0,2024-04-02
000103282,13540893,14450,2580,2024-04-02
000125202,10933824,3793,1344.237911066023,2024-04-02
000125202,10933824,3793,1341.850593733706,2024-04-03
000103282,13540893,14450,2500,2024-04-03
000125201,10933825,4064,0,2024-04-03
000125966,38940368,5731,0,2024-04-03
000125967,38940369,5784,0,2024-04-03
000125967,38940369,5784,0,2024-04-04
000125966,38940368,5731,0,2024-04-04
000125201,10933825,4064,0,2024-04-04
000103282,13540893,14450,2510,2024-04-04
000125202,10933824,3793,1347.691163863449,2024-04-04
000125202,10933824,3793,1331.001691938857,2024-04-05
000103282,13540893,14450,2525,2024-04-05
000125201,10933825,4064,0,2024-04-05
000125966,38940368,5731,0,2024-04-05
000125967,38940369,5784,1440.26915394751,2024-04-05
000125967,38940369,5784,1725.861009808987,2024-04-06
000125966,38940368,5731,0,2024-04-06
000125201,10933825,4064,0,2024-04-06
000103282,13540893,14450,2600,2024-04-06
000125202,10933824,3793,1323.928182975629,2024-04-06
000125202,10933824,3793,1320.71960797795,2024-04-07
000103282,13540893,14450,2700,2024-04-07
000125201,10933825,4064,0,2024-04-07
000125966,38940368,5731,0,2024-04-07
000125967,38940369,5784,1717.369105423357,2024-04-07
000125967,38940369,5784,1723.076594147058,2024-04-08
000125966,38940368,5731,0,2024-04-08
000125201,10933825,4064,0,2024-04-08
000103282,13540893,14450,3025,2024-04-08
000125202,10933824,3793,1322.092951722301,2024-04-08
000125202,10933824,3793,1324.952154043249,2024-04-09
000103282,13540893,14450,3025,2024-04-09
000125201,10933825,4064,0,2024-04-09
000125966,38940368,5731,0,2024-04-09
000125967,38940369,5784,1738.39117267361,2024-04-09
000125967,38940369,5784,1739.044579999995,2024-04-10
000125966,38940368,5731,0,2024-04-10
000125201,10933825,4064,0,2024-04-10
000103282,13540893,14450,3025,2024-04-10
000125202,10933824,3793,1325.225342478052,2024-04-10
000125202,10933824,3793,1329.43650872637,2024-04-11
000103282,13540893,14450,3025,2024-04-11
000125201,10933825,4064,0,2024-04-11
000125966,38940368,5731,0,2024-04-11
000125967,38940369,5784,1739.346362944441,2024-04-11
000125967,38940369,5784,1740.630654638889,2024-04-12
000125966,38940368,5731,0,2024-04-12
000125201,10933825,4064,0,2024-04-12
000103282,13540893,14450,3025,2024-04-12
000125202,10933824,3793,1330.184268085852,2024-04-12
000125202,10933824,3793,1329.920120436188,2024-04-13
000103282,13540893,14450,3050,2024-04-13
000125201,10933825,4064,0,2024-04-13
000125966,38940368,5731,0,2024-04-13
000125967,38940369,5784,1741.147754111111,2024-04-13
000125967,38940369,5784,1741.716928451388,2024-04-14
000125966,38940368,5731,0,2024-04-14
000125201,10933825,4064,0,2024-04-14
000103282,13540893,14450,3050,2024-04-14
000125202,10933824,3793,1335.742987794541,2024-04-14
