api,uictype,formation,injbot,slon,slat,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023,4/2023,5/2023,6/2023,7/2023,8/2023,9/2023,10/2023,11/2023,12/2023,1/2024
10933356,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,1409081.0,1077846.0,700777.0,956742.0,957674.0,985928.0,1117698.0,981287.0,620376.0,897501.0,1076229.0,1081577.0,577941.0,305981.0,21772.0,187844.0,739755.0,1041113.0,1126870.0,922802.0,271687.0,156556.0,423032.0,1349751.0,1315296.0,1076794.0,1190026.0,985526.0,1254579.0,1117218.0,1295824.0,1320762.0,1241630.0,1191558.0,1084376.0,837160.0,225040.0,420491.0,588748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10933058,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,667307.0,435501.0,541953.0,547001.0,351956.0,555846.0,428417.0,581252.0,561096.0,471037.0,246824.0,465813.0,445711.0,437058.0,622295.0,516866.0,425784.0,202042.0,195406.0,144644.0,242971.0,543302.0,365888.0,0,609073.0,574534.0,573286.0,598744.0,654878.0,664161.0,630395.0,640862.0,648643.0,631715.0,571610.0,573921.0,591544.0,351960.0,476541.0,540304.0,619544.0,615157.0,665558.0,264652.0,512159.0,219227.0,661397.0,719571.0,0
10932848,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,308866.5,334753.5,331835.0,217109.5,202816.5,205062.0,217935.0,185169.0,180261.0,228022.0,222369.0,262611.0,320992.0,259901.0,278252.0,256910.0,215206.0,238583.0,246175.0,269005.0,204744.0,132110.0,152419.0,256502.0,302799.0,250271.0,498668.0,411040.0,125339.0,295788.0,288305.0,385853.0,408063.9,408900.39999999985,263773.60000000003,114462.0,183588.0,176463.0,158651.0,135498.0,0.0,21852.0,131906.0,488887.0,295989.0,255820.0,283512.0,263488.0,0
10933296,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,1356766.0,1701846.0,1767986.0,1412970.0,798674.0,942648.0,1198664.0,1357671.0,1014499.0,822402.0,1450210.0,1292737.0,627153.0,440532.171099,298730.74057240004,863361.0,964860.0,863361.0,592014.0,846754.0,973035.2160200002,857568.3595761599,604998.0,584656.0,749219.7387600002,483882.229114,572274.61815,242774.91485819998,412353.0,942648.0,333169.0,209035.0,39757.594039999996,472669.1418009999,386776.69518552005,69506.494752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10933071,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,381529.0,152881.0,426438.0,444975.0,267196.0,361064.0,412828.0,403912.0,433454.0,394941.0,442641.0,378088.0,334894.0,225509.0,341835.0,324356.0,389100.0,280258.0,166444.0,364330.0,296587.0,256301.0,0,0,395293.0,371556.0,505683.0,447048.0,393504.0,356912.0,427421.0,411583.0,419268.0,427808.0,344084.0,437383.0,450441.0,206869.0,148595.0,207356.0,120197.0,44618.0,176339.0,177291.0,135799.0,59077.0,323007.0,356453.0,0
10932849,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,481042.0,473768.0,452390.0,321418.0,347690.0,335570.0,396588.0,343374.0,301430.0,368900.0,397180.0,412356.0,318476.0,295005.0,280512.0,281460.0,217558.0,256068.0,244424.0,128942.0,182508.0,122078.0,176654.0,30051078.01,279452.0,179462.0,279134.0,300266.0,146668.0,303019.1,327440.0,380696.0,300545.217714,289199.4,202854.59999999998,91581.0,137754.0,115299.0,284516.0,202801.0,0.0,12422.0,73195.0,433440.0,136756.0,65750.0,80286.0,78533.0,0
10933316,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,868553.7324400002,846849.5879099999,886380.1337809999,1192016.13088,1142829.20315,1110811.60645,1263980.84183,1389098.1054999998,1167285.5781599998,827928.5283116001,676015.9990310002,910349.2363400002,1159710.82033,336859.47314772,429333.0,657601.8160399998,961819.0,1125863.0,767626.0,1181270.0,549736.52860743,1361244.0,1031984.0,333516.0,946816.4864799998,870400.3645399999,797197.3121440001,1239449.67692,1037474.37299,476495.10939881,841919.11107,865291.0853400001,877626.0805100002,959567.0730599998,765580.89322,633388.39016,490774.30983499996,214891.0,2623.0,257910.0,618689.0,465313.0,579527.0,617425.0,606752.0,743494.0,73123.0,0.0,0
10933166,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,975911.65944,925027.3452450002,609760.6236909999,368902.66529470007,896822.94385,1209252.3047999993,490942.21433905006,738943.6278284501,887059.52383,840095.8723199998,752961.51744348,557731.5584280901,816750.8695900001,523715.32281380007,826109.4094680002,737822.281695,730507.0,645132.0,631895.0,740868.0,654345.9593800001,596888.37574,724840.0,671987.0,547990.6917150001,502535.37417,484223.6675500001,579226.5738899999,567949.74026,572769.8976100001,744140.3907099998,761590.5690140002,838873.433263,523215.893571,260084.66547065,240135.22667399995,59919.70128999999,493611.0,891628.0,625586.0,51744.0,892.0,939.0,900.0,1443.0,189689.0,198381.0,251425.0,0
10932895,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,1434329.0,1030461.0,968597.0,1250247.0,1477421.0,1487965.0,1455643.0,1121551.0,955146.0,1384575.0,1668510.0,1775427.0,746331.0,310510.0,778432.0,1394950.0,1611026.0,1514790.0,1441182.0,217191.0,687459.0,1185145.0,942197.0,1110955.0,1432340.0,1150463.0,1295126.0,1090649.0,930438.0,1390232.0,984970.0,670051.0,661906.0,1090510.0,394048.0,634687.0,834418.0,768449.0,665486.0,729534.0,430455.0,272636.0,489820.0,183783.0,166043.0,348149.0,648585.0,718045.0,0
10933417,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,1379710.0,1192305.0,1079855.0,1053842.0,1421946.0,1239767.0,1240219.0,944234.0,495523.0,458189.0,947067.0,874276.3349700001,961014.10452,231039.80401629998,125844.9863926,176771.04174000002,471568.0,728882.0,266892.0,1028661.0,581442.6284587,1200072.4661800002,941359.0,938039.0,1020764.1947200004,726579.014017,1034411.01421,717312.70126,904480.6388626,900768.24375,982455.73253,990881.7111300002,797674.8070400001,745390.95622,633351.05918,493299.6831,314084.55278870795,101986.0,95846.0,740057.0,840435.0,401240.0,267654.0,159423.0,0.0,168583.0,18213.0,0.0,0
