UIC,API,inj_date,vol_bbls,cmpl_top,cmpl_bot,UIC_type,wtd_ft,slon,slat
000107804,47536733,2023-12-14,18643.837890625,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-15,8407.609375,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-15,25055,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-15,19578,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-15,18452.6328125,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-15,12022.048828125,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-15,25526.26953125,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-15,18594.501953125,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-16,8912.005859375,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-16,26286,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-16,19066,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-16,18384.5546875,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-16,12481.837890625,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-16,26341.96875,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-16,18360.916015625,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-17,9691.35546875,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-17,26904,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-17,19061,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-17,18564.015625,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-17,12720.416015625,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-17,26207.189453125,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-17,18490.529296875,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-18,9225.96484375,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-18,25486,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-18,18849,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-18,17476.53515625,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-18,12563.013671875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-18,25958.27734375,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-18,18372.2265625,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-19,10270.74609375,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-19,23767,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-19,19575,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-19,18046.42578125,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-19,12761.837890625,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-19,25588.5234375,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-19,18506.283203125,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-20,12545.0390625,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-20,22621,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-20,19935,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-20,18117.0859375,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-20,10908.26171875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-20,25751.65234375,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-20,18754.10546875,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-21,12619.623046875,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-21,23482,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-21,19593,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-21,18015.41015625,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-21,12567.6796875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-21,25354.0859375,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-21,18406.79296875,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-22,12838.5,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-22,24559,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-22,19787,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-22,17885.52734375,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-22,12752.169921875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-22,23121.12890625,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-22,18407.005859375,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-23,9876.583984375,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-23,19473,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-23,19751,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-23,17936.2734375,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-23,12343.65234375,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-23,17901.78515625,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-23,18575.5625,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-24,11307.65234375,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-24,21824,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-24,19627,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-24,18004.48828125,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-24,12737.615234375,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-24,11725.443359375,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-24,18890.072265625,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-25,12013.125,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-25,23178,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-25,19760,7420,8305,1,8420,-103.292128,31.431788
