eventid,eventdate,year,month,day,lat_reloc,lon_reloc,depth_reloc,magnitude,cat_lat,cat_lon,cat_depth
texnet2017jusu,2017-05-20,2017,5,20,31.43301,-103.59453,5.517,1.13,31.47181,-103.54063,4.409
texnet2017jwoh,2017-05-21,2017,5,21,31.40785,-103.4938,-0.184,2.26,31.37988,-103.50953,3.484
texnet2017jwsf,2017-05-21,2017,5,21,31.41021,-103.49823,0.096,1.42,31.40378,-103.51703,1.941
texnet2017jzel,2017-05-22,2017,5,22,31.11854,-103.32247,8.743,1.55,31.12746,-103.33559,13.253
texnet2017jzwg,2017-05-23,2017,5,23,31.3653,-103.56981,3.594,2.34,31.42677,-103.54386,3.175
texnet2017kcvl,2017-05-24,2017,5,24,31.07445,-103.39901,4.725,1.41,31.00023,-103.45735,9.345
texnet2017kdon,2017-05-25,2017,5,25,31.439,-103.6048,5.499,1.41,31.45802,-103.58145,3.381
texnet2017keyi,2017-05-26,2017,5,26,31.16489,-103.42681,4.614,1.68,31.15724,-103.32762,9.139
texnet2017kfav,2017-05-26,2017,5,26,31.1405,-103.31733,11.169,1.67,31.13621,-103.31757,12.79
texnet2017kfxu,2017-05-26,2017,5,26,31.12779,-103.32211,4.576,1.86,31.22417,-103.24924,8.934
texnet2017kgvj,2017-05-27,2017,5,27,31.12834,-103.32475,5.079,1.66,31.19896,-103.27557,11.762
texnet2017kidj,2017-05-27,2017,5,27,31.03043,-103.42931,18.265,1.42,30.98233,-103.49852,9.911
texnet2017kita,2017-05-28,2017,5,28,31.4142,-103.50487,0.807,1.37,31.38815,-103.51703,3.586
texnet2017kjmz,2017-05-28,2017,5,28,31.31427,-103.53671,-6.301,1.58,31.32748,-103.49561,1.941
texnet2017kmdf,2017-05-29,2017,5,29,31.01914,-103.40908,7.883,1.6,30.97907,-103.44669,9.962
texnet2017knnv,2017-05-30,2017,5,30,31.07539,-103.4835,5.694,1.7,31.04526,-103.44661,9.345
texnet2017kqbf,2017-06-01,2017,6,1,31.48984,-103.53871,10.454,2.06,31.44653,-103.57662,3.432
texnet2017kqdf,2017-06-01,2017,6,1,31.39023,-103.5282,6.129,2.09,31.38907,-103.49664,4.101
texnet2017ksmw,2017-06-02,2017,6,2,31.43587,-103.5976,5.503,1.29,31.4525,-103.56319,6.774
texnet2017kwat,2017-06-04,2017,6,4,31.43616,-103.59985,5.617,1.54,31.4525,-103.57178,2.764
texnet2017kwcv,2017-06-04,2017,6,4,31.1973,-103.36331,2.371,1.86,31.17935,-103.35756,9.962
texnet2017kwzt,2017-06-04,2017,6,4,31.37888,-103.53028,2.56,1.28,31.36057,-103.49773,4.203
texnet2017kyyk,2017-06-05,2017,6,5,31.38297,-103.129,5.986,3.09,31.36582,-103.12269,7.031
texnet2017kznc,2017-06-06,2017,6,6,31.57223,-103.82574,8.852,1.64,31.5721,-103.86593,5.797
texnet2017lbum,2017-06-07,2017,6,7,31.03812,-103.31276,0.784,1.86,30.99836,-103.4317,6.466
texnet2017lbzx,2017-06-07,2017,6,7,31.43463,-103.59308,6.955,1.53,31.38356,-103.60397,3.381
texnet2017lfnl,2017-06-09,2017,6,9,31.37696,-103.10069,3.5,1.93,31.39142,-103.08392,3.329
texnet2017lgxq,2017-06-10,2017,6,10,31.44883,-103.57055,4.774,1.35,31.47502,-103.5648,4.975
texnet2017lhij,2017-06-10,2017,6,10,31.08455,-103.47777,4.45,1.73,31.05999,-103.4883,6.054
texnet2017liju,2017-06-11,2017,6,11,31.08257,-103.21308,1.918,1.68,31.1271,-103.20942,9.705
