network,station,longitude,latitude,affiliation,archive,location,place,elevation,enddate,startdate,label
4O,MID02,-102.1669,32.1297,Unavailable,TXHUB,,"Midland, TX",883,,2021-12-06,Private shared
4O,SA02,-104.2649,31.67163,,,,"West of Orla, TX",1127.5,,2021-12-07,Private shared
4O,SA04,-104.25458,31.75593,,,,"West of Orla, TX",1092.1,,2021-12-07,Private shared
4O,SA06,-104.14971,31.75696,,,,"West of Orla, TX",1048.2,,2021-12-07,Private shared
4O,HP01,-101.2256703,32.4498025,,,,,736,,2022-01-02,Private shared
4O,CT01,-104.144532,31.90285,,,,,994,,2022-02-25,Private shared
4O,CT02,-104.122493,31.95689,,,,,952,,2022-02-25,Private shared
4O,MID03,-102.2109,32.0121,Unavailable,TXHUB,,"Midland, TX",874,,2022-02-14,Private shared
4O,PL01,-103.3596294,31.9948147,,,,,949,,2022-01-02,Private shared
4O,CF01,-100.58318,32.80184,,,,,640,,2022-03-20,Private shared
4O,WB03,-103.9688386,31.6107215,,,,,994,,2022-05-10,Private shared
4O,WB02,-103.9449205,31.7363019,,,,,932,,2022-05-10,Private shared
4O,MBBB2,-102.073906,32.053452,,,,,850,,2022-03-09,Private shared
4O,SA09,-104.31933,31.9998,,,,,1069,,2022-07-31,Private shared
4O,SA07,-104.36481,31.86578,,,,,1103,,2022-07-31,Private shared
4O,WB04,-103.950319,31.530513,,,,,961.89,,2022-08-26,Private shared
4O,WB05,-103.8329479,31.7537807,,,,,854.81,,2022-08-26,Private shared
4O,WB06,-103.7187809,31.9975481,,,,"Loving Co., TX",950.93,,2022-08-26,Private shared
4O,WB07,-103.8016616,31.99830925,,,,"Loving Co., TX",942.37,,2022-08-26,Private shared
4O,WB08,-103.759894,31.96355,,,,"Loving Co., TX",928.58,,2022-08-26,Private shared
4O,WB09,-103.8032847,31.96368917,,,,"Loving Co., TX",910.79,,2022-08-26,Private shared
4O,WB10,-103.7218932,31.93042,,,,"Loving Co., TX",910.9,,2022-08-26,Private shared
4O,WB11,-103.8004139,31.92770654,,,,"Loving Co., TX",905,,2022-08-26,Private shared
4O,WB12,-103.7642735,31.898132,,,,"Loving Co., TX",886,,2022-08-26,Private shared
4O,CV01,-104.0889,31.8504,Unavailable,TXHUB,,"Orla, TX",983,,2022-11-08,Private shared
4O,AT01,-101.73096,31.80227,,,,,815,,2023-01-22,Private shared
4O,BP01,-103.8244,31.8409,Unavailable,TXHUB,,"East of Orla,  TX",806,,2023-02-03,Private shared
4O,MO01,-101.4394,32.5118,,,,,794,,2023-03-05,Private shared
4O,SM01,-101.9041,32.1913,,,,,852,,2023-05-31,Private shared
4O,MBBB3,-101.709457,31.843938,,,,"Glasscock, County",727,,2023-01-18,Private shared
4O,MBBB4,-101.89224,31.830239,,,,"Midland, County",714,,2023-01-18,Private shared
4O,MBBB5,-102.082661,32.282248,,,,"Martin, County",779,,2023-01-19,Private shared
4O,GV02,-101.39524,32.35144,,,,Howard County,779,,2023-07-09,Private shared
4O,GV01,-101.59866,32.40766,,,,Howard County,807,,2023-07-09,Private shared
4O,SM02,-102.1208,32.3607,,,,,883,,1979-12-31,Private shared
ZW,AFDA,-97.048401,32.822601,,,,,165,2018-02-27,2014-12-07,Decomissioned
ZW,AZVM,-97.5488,33.0313,,,,,208,2019-12-24,2018-07-01,Decomissioned
ZW,CHDR,-96.976303,32.6003,,,,,261,2018-12-31,2017-07-24,Decomissioned
ZW,CLHT,-97.548,32.2734,,,,,228,2019-04-14,2018-08-30,Decomissioned
ZW,IFS3,-96.9211,32.8312,,,,,150,2023-12-31,2015-01-07,Decomissioned
ZW,IFSC,-96.906097,32.875198,,,,,134,2018-12-31,2017-11-19,Decomissioned
ZW,ILCC,-96.9472,32.861,,,,,158,2023-12-31,2015-02-19,Decomissioned
ZW,IPD1,-96.9333,32.889,,,,,128,2023-12-31,2015-01-16,Decomissioned
ZW,IPD1V,-96.9334,32.8888,,,,,148,2023-12-31,2017-01-24,Decomissioned
ZW,ITL1,-96.899,32.8489,,,,,230,2023-12-31,2015-01-06,Decomissioned
ZW,ITSC,-96.8498,32.8903,,,,,158,2023-12-31,2015-01-10,Decomissioned
ZW,LLGR,-96.7872,33.1821,,,,,223,2021-06-10,2018-02-26,Decomissioned
ZW,AZCF,-97.446251,33.184074,,,,,381,2016-12-31,2014-01-29,Decomissioned
ZW,AZDA,-97.555298,32.972801,,,,,238,2018-12-31,2014-01-07,Decomissioned
ZW,AZHL,-97.348289,32.965649,,,,,222,2016-12-31,2014-01-10,Decomissioned
ZW,AZLE,-97.786163,32.982395,,,,,381,2016-12-31,2014-01-10,Decomissioned
ZW,EML1,-97.460251,32.87347,,,,,211,2016-12-31,2013-12-19,Decomissioned
ZW,EML23,-97.460938,32.873871,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML24,-97.461418,32.8741,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML25,-97.461899,32.874241,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML26,-97.464203,32.874371,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML27,-97.462936,32.874439,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML28,-97.463478,32.874538,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML29,-97.463989,32.874649,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML3,-97.47403,32.875984,,,,,211,2014-02-13,2013-12-19,Decomissioned
ZW,EML30,-97.464523,32.874729,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML31,-97.46505,32.874809,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML32,-97.465569,32.87492,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML33,-97.466087,32.875031,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML34,-97.466614,32.875111,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML35,-97.46714,32.875198,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML36,-97.467651,32.875301,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML37,-97.468193,32.875389,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML38,-97.468697,32.875481,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML39,-97.469231,32.875549,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML40,-97.46978,32.875641,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML41,-97.470284,32.875771,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML42,-97.470787,32.875851,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML43,-97.471313,32.875969,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML44,-97.471863,32.876091,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML45,-97.472366,32.87619,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML46,-97.472893,32.87627,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML47,-97.473419,32.87635,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML48,-97.47393,32.876411,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML49,-97.474449,32.876511,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML50,-97.474838,32.876671,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML51,-97.474403,32.87587,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML52,-97.473373,32.87566,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML53,-97.472298,32.8755,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML54,-97.471252,32.875301,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML55,-97.47023,32.875118,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML56,-97.469147,32.87492,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML57,-97.468117,32.874729,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML58,-97.467079,32.87455,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML59,-97.466026,32.874359,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML60,-97.464989,32.874191,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML61,-97.463943,32.87397,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML62,-97.462883,32.87389,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,EML63,-97.461853,32.873661,,,,,300,2014-03-01,2014-02-22,Decomissioned
ZW,IDCR,-96.927094,32.861221,,,,,230,2015-01-17,2014-01-07,Decomissioned
ZW,IFBF,-96.913528,32.923664,,,,,132,2017-12-31,2015-01-25,Decomissioned
ZW,IFSB,-96.954353,32.89352,,,,,230,2015-01-17,2015-01-06,Decomissioned
ZW,IGC1,-96.922836,32.888802,,,,,230,2015-01-17,2015-01-07,Decomissioned
